State,Policy name
Central,National AIDS Control Organisation (NACO) Internship Programme
Central,Quality Improvement Programme (QIP)
Central,Livestock Health and Diseases Control
Central,Ramalingaswami Re-Entry Fellowship
Central,Financial Assistance For Development Of Buddhist/Tibetan Arts And Culture
Central,Institutional Support for Development and Marketing of Tribal Products/Produce
Central,Innovation In Science Pursuit For Inspired Research (INSPIRE) - Internship
Central,National Action Plan for Skill Development of Persons with Disabilities
Central,Education Loan Scheme
Central,Indira Gandhi National Widow Pension Scheme
Central,Maulana Abul Kalam Azad Trophy Scheme
Central,Biotechnology Ignition Grant Scheme
Central,Atal Mission For Rejuvenation And Urban Transformation
Central,Prime Minister's Scholarship Scheme for Railway Protection Force
Central,Coffee Development Programme in North Eastern Region: Quality Upgradation / Certification: Supply of Baby Pulpers
Central,Internship Scheme For PG/Research Students In Directorate General Of Trade Remedies (DGTR)
Central,AICTE - Research Promotion Scheme (RPS)
Central,Swarnajayanti Fellowships Scheme
Central,MeitY - Visvesvaraya PhD Scheme For Electronics & IT
Central,National Means-Cum-Merit Scholarship Scheme
Delhi,"Financial Assistance For Widows, Divorced, Separated / Destitute Deserted Or Abandoned Women"
Delhi,Delhi Arogya Nidhi
Delhi,Financial Assistance For Purchase Of Stationery To SC/ST/OBC/Minorities Students
Delhi,Financial Assistance For The Marriage Of Daughters Of Poor Widows And Orphan Girls
Delhi,Mukhyamantri Tirth Yatra Yojana - Delhi
Delhi,Jai Bhim Mukhyamantri Pratibha Vikas Yojana
Delhi,Dr. B. R. Ambedkar State Award To SC/ST/OBC/Minorities Students
Delhi,Delhi Family Benefit Scheme
Delhi,Bus Traveling Facility For Visually Impaired/Bus Concession
Delhi,WISE Fellowship for Ph.D.
Delhi,Financial Assistance For Persons With Special Needs
Delhi,Merit Cum Means Linked Financial Assistance Scheme
Delhi,Old Age Assistance
Harayana,Dr. Ambedkar Medhavi Chattar Sansodhit Yojna
Harayana,Pension To Widows And Destitute Women
Harayana,Scholarship To Scheduled Castes Students Studying In Government ITI’s
Harayana,Financial Assistance To Institutions/Societies Belonging To Scheduled Castes/Backward Classes
Harayana,Aapki Beti Hamari Beti
Harayana,Financial Assistance On Marriage Of Children (HBOCWWB)
Harayana,Dr. Ambedkar Medical Aid Scheme (Revised – 2009)
Harayana,Disability Pension For Registered Worker (HBOCWWB)
Harayana,Kailash Mansarovar Yatra Scheme 2016
Harayana,Swatantrata Sainik Samman Pension Scheme
Harayana,Development Support for Coffee in Traditional Areas: Support to Small Growers' Collectives/ SHGs/ Cooperatives for Coffee Marketing
Harayana,TEC Internship Scheme
Harayana,RKVY Soil Health and Fertility - Soil Health Card
Harayana,Financial Assistance For Education Of Children Of Registered Worker (HBOCWWB)
Harayana,Kabir Puraskar Scheme
Harayana,Financial Assistance To Women And Girl Acid Attack Victims
Harayana,Old Age Samman Allowance
Harayana,Mukhya Mantri Vivah Shagun Yojna
Harayana,Domestic Funding Of Foreign Training
Harayana,Financial Assistance To Kashmiri Migrants Families Scheme
Maharashtra,Financial Assistance To Self-Employment For Trained Disabled Persons
Maharashtra,Financial Assistance For Aids And Appliances For Disabled Persons
Rajasthan,Rajasthan Chief Minister's Relief Fund - Accident Assistance
UP,Leprosy Pension Scheme
UP,Pre-Matric Scholarship
UP,Free Motorized Tricycle Scheme for Persons with Disabilities
UP,Divyang Pension Yojana
UP,Production Linked Incentive Scheme (pli) For Promoting Telecom & Networking Products Manufacturing In India
UP,Right To Information Fellowship
UP,Fee Reimbursement Scheme
UP,Mukhyamantri Samuhik Vivah Yojana
UP,Marriage Grant Scheme
UP,Kaushal Vikas Yojana
UP,Gambhir Bimari Sahayata Yojana
UP,Laxman Award / Rani Laxmi Bai Award Scheme
UP,Kanya Sumangala Yojana
UP,Credit Based Schemes For SC - Term Loan (TL)
UP,Scheme of Grant-in-Aid to Voluntary Organisations Working for the Welfare of Scheduled Tribes
UP,Coir Udyami Yojana
UP,Loan Based Schemes For Safai Karamchari - Scheme For Pay And Use Community Toilets
UP,Pradhan Mantri Jan Dhan Yojana
UP,RMEWF-Financial Assistance To 100% Disabled Child Of Ex-Servicemen
UP,Awasiya Vidyala Yojana
